album_id,name,release_date,total_tracks,url
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,5/17/2024,10,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
5quMTd5zeI9yW5UDua8wS4,Espresso,4/12/2024,1,https://open.spotify.com/album/5quMTd5zeI9yW5UDua8wS4
52TwRwdTUMtkpglbOE5IRz,MILLION DOLLAR BABY,4/26/2024,2,https://open.spotify.com/album/52TwRwdTUMtkpglbOE5IRz
5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,5/4/2024,1,https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ
5tSQtQGkrCJx3hoQxmLgfM,Gata Only,2/2/2024,1,https://open.spotify.com/album/5tSQtQGkrCJx3hoQxmLgfM
1woYXxyyxTQJ0E0AhZE6mj,I Had Some Help,5/10/2024,1,https://open.spotify.com/album/1woYXxyyxTQJ0E0AhZE6mj
3P4SQqMMgjqfqVxgLwtYRk,Unreal Unearth: Unheard,3/22/2024,20,https://open.spotify.com/album/3P4SQqMMgjqfqVxgLwtYRk
6egBeCLeGITzGSo5VyRjwZ,A Bar Song (Tipsy),4/12/2024,1,https://open.spotify.com/album/6egBeCLeGITzGSo5VyRjwZ
168CdR21lfn0TTyw1Pkdcm,Fireworks & Rollerblades,4/5/2024,15,https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
5HIWDdg3g9CTOtnevKDl1z,i like the way you kiss me,3/19/2024,1,https://open.spotify.com/album/5HIWDdg3g9CTOtnevKDl1z
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,4/18/2024,16,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt
5EYKrEDnKhhcNxGedaRQeK,eternal sunshine,3/8/2024,13,https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK
4JDXBZdRPId4devseaAOKH,DECIDE,9/16/2022,13,https://open.spotify.com/album/4JDXBZdRPId4devseaAOKH
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),9/15/2023,10,https://open.spotify.com/album/7nacKlk586eLRBSIsrk9DB
4AzPr5SUpNF553eC1d3aRy,BAND4BAND (feat. Lil Baby),5/23/2024,1,https://open.spotify.com/album/4AzPr5SUpNF553eC1d3aRy
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023,3,https://open.spotify.com/album/7tzVd1fwkxsorytCBjEJkU
3VNxRarx9HUI5w7DHv0TBj,Stargazing,5/10/2024,1,https://open.spotify.com/album/3VNxRarx9HUI5w7DHv0TBj
1NAmidJlEaVgA3MpcPFYGq,Lover,8/23/2019,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
4iqbFIdGOTzXeDtt9owjQn,WE DON'T TRUST YOU,3/22/2024,17,https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,5/20/2022,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
7LRZfujsTLyy814AnMSdtT,Pink Skies,5/24/2024,1,https://open.spotify.com/album/7LRZfujsTLyy814AnMSdtT
40HsqPqeSR9Xe3IyAJWr6e,What Happens Now?,2/16/2024,8,https://open.spotify.com/album/40HsqPqeSR9Xe3IyAJWr6e
3uzutRS5qX4ng5Skjh5S6W,Santa,4/3/2024,2,https://open.spotify.com/album/3uzutRS5qX4ng5Skjh5S6W
3PlCMwyq6nuQYtoYproV1o,Belong Together,2/16/2024,1,https://open.spotify.com/album/3PlCMwyq6nuQYtoYproV1o
1fmBMCSSkSlvxyoy1vut2k,Saturn,2/22/2024,5,https://open.spotify.com/album/1fmBMCSSkSlvxyoy1vut2k
0QZVRL2HC24voXfxWmpHvd,Madonna,3/8/2024,1,https://open.spotify.com/album/0QZVRL2HC24voXfxWmpHvd
0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS,12/1/2023,10,https://open.spotify.com/album/0lgs2Sa82lyX89nBUWyUy6
1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",4/5/2024,1,https://open.spotify.com/album/1WAjjRMfZjEXtB0lQrAw6Q
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,7/28/2023,19,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ
50ZenUP4O2Q5eCy2NRNvuz,Stick Season,10/14/2022,14,https://open.spotify.com/album/50ZenUP4O2Q5eCy2NRNvuz
4xkM0BwLM9H2IUcbYzpcBI,I Love You.,4/19/2013,11,https://open.spotify.com/album/4xkM0BwLM9H2IUcbYzpcBI
78bpIziExqiI9qztvNFlQu,AM,9/9/2013,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
3UOV8XvCwMKaATRNXrYCjN,greedy,9/15/2023,1,https://open.spotify.com/album/3UOV8XvCwMKaATRNXrYCjN
4sD1qg4jwTZR4mvR4Iflk5,Strange Trails,4/6/2015,14,https://open.spotify.com/album/4sD1qg4jwTZR4mvR4Iflk5
6WkOBnYkj6y5iSr14uhUZF,Si No Quieres No,3/10/2024,1,https://open.spotify.com/album/6WkOBnYkj6y5iSr14uhUZF
6irebIc6UO8fN0jl4UlzBS,SUPER REAL ME,3/25/2024,4,https://open.spotify.com/album/6irebIc6UO8fN0jl4UlzBS
32bR4LcEc1PvJEhaKoo4ZN,euphoria,4/30/2024,1,https://open.spotify.com/album/32bR4LcEc1PvJEhaKoo4ZN
2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,9/15/2023,11,https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA
4sLNpzARYcLX5BIGLOvgNC,MTG QUEM NÃO QUER SOU EU,5/10/2024,1,https://open.spotify.com/album/4sLNpzARYcLX5BIGLOvgNC
058hCti9Bupb5CJc6bd3VB,Armageddon - The 1st Album,5/27/2024,10,https://open.spotify.com/album/058hCti9Bupb5CJc6bd3VB
